"","X","iso2c","year","country","GDPpc","Rural","CO2","HCexpend","Water","Sanitation","Unemploym","HCexpendpc","FemUnempl","FemSchool","LifeExpect","DPT","Measles","Population","Incidence","Incidence2","DDif","lGDPpc","lRural","lCO2","lHCexpend","lWater","lSanitation","lUnemploym","lHCexpendpc","lFemUnempl","lFemSchool","lLifeExpect","lDPT","lMeasles"
"908",908,"TZ",2010,"Tanzania",1545.20356686106,71.886,0.152229977188703,7.19317810023409,53.4,11.6,3,36.6509900585938,3.79999995231628,102.49282,59.1817073170732,91,92,44973330,0.38,0.42,1,7.34291093913858,4.27508153088582,-1.88236289375857,1.97313309079475,3.97781074596615,2.45100509811232,1.09861228866811,3.60144044184484,1.33500105418399,4.62979274734444,4.08061249611782,4.51085950651685,4.52178857704904
"909",909,"TZ",2011,"Tanzania",1595.92174251701,71.202,-1.04860286989168,7.36990605565684,53.3,11.9,3.5,37.9574660554565,4.5,95.9982610854045,60.0746585365854,90,93,46354607,0.34,0.38,1,7.37520674329693,4.26552090791106,-1.80159955487588,1.99740495926204,3.9759363311718,2.47653840011748,1.25276296849537,3.63646621849617,1.50407739677627,4.5533674849472,4.09558809765441,4.49980967033027,4.53259949315326
"910",910,"TZ",2012,"Tanzania",1655.63591741614,70.507,0.454005659266278,6.99191009992585,53.2,12.2,3.5,41.3353971741786,4.5,94.48793,60.8464390243903,92,97,47783107,0.34,0.34,1,7.41194045414043,4.25571199566936,-1.20163883974276,1.94475378070848,3.9740583963476,2.50143595173921,1.25276296849537,3.72171920732374,1.50407739677627,4.54847210147446,4.10835329716881,4.52178857704904,4.57471097850338
"911",911,"UA",2000,"Ukraine",4817.21402155825,32.855,6.52300885589202,5.58890297874993,96.9,95.1,11.6000003814697,35.6152825251045,11.1999998092651,108.3286,67.8634146341464,99,99,49175848,0.12,0.119582979803805,0.989987744817085,8.47995103610995,3.49210394034983,1.875335750454,1.72078302081499,4.57367951889672,4.55492896955134,2.45100513099764,3.57277483015484,2.41591376127115,4.6851692003994,4.21749707689571,4.59511985013459,4.59511985013459
"912",912,"UA",2001,"Ukraine",5313.55754688578,32.817,6.60693034540294,5.6557813531123,97,95,10.8999996185303,44.2134693374216,10.5,115.66281,68.2870731707317,99,99,48683865,0.12,0.12,1,8.57801686107043,3.49094667380576,1.88811915044684,1.73267827033508,4.57471097850338,4.55387689160054,2.38876275423788,3.78902947880179,2.35137525716348,4.75067914778338,4.22372048322794,4.59511985013459,4.59511985013459
"913",913,"UA",2002,"Ukraine",5645.68462700064,32.717,6.61136459727193,6.25127679072672,97.1,94.9,9.60000038146973,54.980689426684,9.19999980926514,122.48194,68.2756097560976,99,99,48202500,0.12,0.12,1,8.63864674947803,3.48789482048947,1.88879007692481,1.83278572940094,4.57574137529728,4.55282370561588,2.26176313821022,4.00698202224895,2.21920346332294,4.80796359054469,4.22355259820378,4.59511985013459,4.59511985013459
"914",914,"UA",2003,"Ukraine",6226.70025331842,32.573,7.36744655998009,6.93362184002633,97.3,94.8,9.10000038146973,72.7093282652203,8.69999980926514,96.76968,68.2107317073171,97,99,47812950,0.11,0.12,1,8.73660181710206,3.48348372434938,1.99707118212259,1.93638230871569,4.57779898919196,4.55176940926098,2.20827445544255,4.28646968807191,2.16332300373699,4.57233372207742,4.22260190888247,4.57471097850338,4.59511985013459
"915",915,"UA",2004,"Ukraine",7033.28557372156,32.403,7.23097197987001,6.60913961514055,97.4,94.7,8.60000038146973,90.3689854855386,8.30000019073486,96.51134,68.1853658536585,99,99,47451600,0.11,0.11,1,8.85840924030686,3.47825101110445,1.97837346418462,1.88845348126754,4.57882621064849,4.55071400019203,2.15176224761641,4.50390112762023,2.11625553778266,4.5696605143942,4.22222996489867,4.59511985013459,4.59511985013459
"916",916,"UA",2005,"Ukraine",7276.30951988724,32.21,7.08774622307752,6.41043646874405,97.5,94.6,7.19999980926514,117.15223060688,6.80000019073486,106.84338,67.9568292682927,96,96,47105150,0.09,0.11,1,8.89237907857479,3.47227696334311,1.95836740891993,1.85792736046218,4.5798523780038,4.54965747605783,1.97408099953106,4.76347420537757,1.9169226402313,4.6713640238327,4.21887263986323,4.56434819146784,4.56434819146784
"917",917,"UA",2006,"Ukraine",7860.44470895712,32.031,6.97790220730854,6.39231980711307,97.6,94.5,6.80000019073486,146.953847087712,6.5,100.76237,68.0775609756098,98,98,46787750,0.07,0.09,1,8.96959846257046,3.46670418386427,1.94274832823653,1.85509723961431,4.58087749341905,4.5485998344997,1.9169226402313,4.99011857209157,1.87180217690159,4.61276497244638,4.22064765776569,4.58496747867057,4.58496747867057
